id,device_id,company_name,location,final_location,initial_coords,final_coords,company_position,device_type,certification
1,WA546164,1 Green Planet,"Renton, WA","Hong Kong, New Territories","[-122.19699064903253, 47.49902565156954]","[114.1234, 22.3704]",First,LCD,None
2,OH157467,Accurate IT,"Columbus, OH","Pakistan, Multan","[-83.10375272549389, 39.969208831162504]","[71.456527, 30.188337]",First and Last,CRT,R2
3,MA352894,ACT Secured Recycling,"Lawrence, MA","Hong Kong, New Territories","[-71.15304421041003, 42.70884038245311]","[113.981538, 22.453303]",First,Printer,None
4,NV353413,Advance Trading Corp,"Ontario, CA","Hong Kong, New Territories","[-115.16180688119586, 36.149843415024044]","[114.019274, 22.423244]",Last,LCD,None
5,CA549390,Advance Trading Corp,"Ontario, CA","Cambodia, Phnom Penharea","[-118.13098919025249, 34.18319568783581]","[104.91787357108755, 11.569222198370339]",Intermediate,LCD,None
6,NJ614731,Advanced Recovery Inc (ARI),"Newark, NJ","Hong Kong, New Territories","[-74.1433280275119, 40.800374754822016]","[114.166662, 22.526796]",First,LCD,R2
7,CA552709,AERC Recycling Solutions,"Hayward, CA","Hong Kong, New Territories","[-122.05533117717962, 37.61812962397873]","[114.003833, 22.485871]",First,LCD,R2
8,CCA545745,All eWaste*,"Santa Clarita, CA","Hong Kong, New Territories","[-118.541739267885, 34.393247873697874]","[113.9652, 22.447456]",First,LCD,e-Stewards
9,MA616330,Allied Computer Brokers,"Amesbury, MA","Hong Kong, New Territories","[-70.94801096873985, 42.8424297205171]","[113.987362, 22.453112]",First,Printer,None
10,IL163523,ARCOA,"Waukegan, IL","Hong Kong, New Territories","[-87.88251900807431, 42.36075574682718]","[114.002787, 22.436384]",First,LCD,R2
11,CA551248,Attan Recycling Corp,"Chino, CA","Taiwan, Taoyuan City","[-117.709278, 34.000353]","[121.11437638892617, 25.03978062110914]",First and Last,CRT,None
12,CA549390-1,Attan Recycling Corp,"Chino, CA","Cambodia, Phnom Penh area","[-118.13098919025249, 34.18319568783581]","[104.91787357108755, 11.569222198370339]",First,LCD,None
13,OH166039,Avnet,"Groveport, OH","China, Guiyu area","[-81.94117128986848, 40.843940187671436]","[116.35186285034011, 23.317118673866133]",Intermediate,Printer,R2
14,NV353470,Blind Center of Nevada,"Las Vegas, NV","Mexico, Mexicali area.","[-115.12544977474842, 36.182627312764446]","[-115.4474774140139, 32.625484622186505]",First and Last,CRT,R2
