"","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"1","1 Green
Planet","Renton, WA","First","LCD
WA546164","None","No","No","Yes","No","Hong Kong, New
Territories","1. 1 Green Planet
2. EWC Group Recyclers/eWaste Center
3. Canada, Vancouver Port area
4. Hong Kong, Port of Hong Kong
5. Hong Kong. Unverified location (New Territo-
ries)"
"2","Accurate IT","Columbus, OH","First and
Last","CRT
OH157467","R2","No","N/A No
state pro-
gram","No
(But discusses BAN's
findings of pollution
occurring in develop-
ing countries)","Yes","Pakistan, Multan","1. Accurate IT
2. Pakistan, Port Qasim
3. Pakistan, Multan 30.188337, 71.456527"
"3","ACT Secured
Recycling","Lawrence, MA","First","Printer
MA352894","None","No","N/A No
state pro-
gram","No","Yes","Hong Kong, New
Territories","1. ACT Secured Recycling
2. TBS Industries
3. Hong Kong, Port of Hong Kong
4. Hong Kong. New Territories 22.453303,
113.981538"
"4","Advance Trad-
ing Corp","Ontario, CA
34.059492,
-117.659313","Last","LCD
NV353413","None
(No certifica-
tion at time
of export,
but became
R2 certified
~4 months
after handling
exported
device).","No","Yes Active
collector","Yes","No","Hong Kong, New
Territories","1. Nevada State Recycling
2. TW Recycling
3. Advance Trading Corp
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.423244,
114.019274"
"5","Advance Trad-
ing Corp","Ontario, CA
34.059311,
-117.659305","Interme-
diate","LCD
CA549390","None
(No certifica-
tion at time
of export,
but became
R2 certified
~4 months
after handling
exported
device).","No","Yes Active
collector","Yes","No","Cambodia,
Phnom Penharea","1. Recycling Event at Eliot Middle School, Alta-
dena, CA
2. Attan Recycling Corp
3. Advance Trading Corp
4. WTB Electronics Recycling Import & Export
5. Port of Long Beach
6. Cambodia, Unverified location (Krong Preah
Sihnaouk port area)
7. Cambodia, Unverified location (Phnom Penh
area)"
"6","Advanced
Recovery Inc
(ARI)","Newark, NJ","First","LCD
NJ614731","R2","No","Yes Large
Quantity
Universal
Waste
Handler","No","Yes","Hong Kong, New
Territories","1. Advanced Recovery Inc (ARI)
2. Unverified location, Middletown, NJ
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.526796,
114.166662"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 2","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"7","AERC
Recycling
Solutions","Hayward, CA","First","LCD
CA552709","R2","Yes","No
Inactive
collector","No","Yes","Hong Kong, New
Territories","1. AERC Recycling Solutions
2. Unverified location, Stockton, CA
3. Unverified location, Chino, CA area
4. Hong Kong - Port of Hong Kong
5. Hong Kong - Pillar Point port area
6. Hong Kong, New Territories 22.48509,
114.071367
7. Hong Kong, New Territories 22.455738,
114.01992
8. Hong Kong, New Territories 22.485871,
114.003833"
"8","All eWaste*","Santa Clarita,
CA","First","Printer
CCA545745","e-Stewards*","No","Yes Active
collector &
recycler","No","No","Hong Kong, New
Territories","1. All eWaste collection event in Santa Clarita, CA
2. All eWaste HQ, Sun Valley, CA (34.228201,
-118.385998)
3. IQA Metals
4. Port of Long Beach
5. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.447456,
113.9652"
"9","Allied Com-
puter Brokers","Amesbury, MA","First","LCD
MA616330","None","No","N/A No
state pro-
gram","Yes","No","Hong Kong, New
Territories","1. Allied Computer Brokers
2. Unverified location, North Billerica, MA
3. Unverified location in Boston, MA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories (unverified
location)
6. Hong Kong, New Territories 22.453112,
113.987362"
"10","ARCOA","Waukegan, IL","First","LCD
IL163523","R2","Yes","Yes State
EPA list","No","No","Hong Kong, New
Territories","1. ARCOA
2. ECR World
3. Port of Long Beach, CA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.436384,
114.002787"
"11","Attan Recy-
cling Corp","Chino, CA","First and
Last","CRT
CA551248","None","No","Yes Active
collector &
recycler","No","No","Taiwan, Taoyuan
City","1. Attan Recycling Corp
2. Port of Long Beach, CA
3. Taiwan, Unverified location, Port area in New
Taipei City, Bali District
4. Taiwan, Unverified location. Taoyuan City,
Guanyin District"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 3","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
