device_id,id,name,coordinates,precise
WA546164,1,1 Green Planet,"[-122.19699064903253, 47.49902565156954]",1
WA546164,2,EWC Group Recyclers/eWaste Center,"[-122.23015963874957, 47.39918336447823]",1
WA546164,3,"Canada, Vancouver Port area","[-123.10969537747143, 49.311940748353905]",0
WA546164,4,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
WA546164,5,"Hong Kong, New Territories","[114.1234, 22.3704]",0
OH157467,6,Accurate IT,"[-83.10375272549389, 39.969208831162504]",1
OH157467,7,"Pakistan, Port Qasim","[67.32869344511904, 24.767448330394107]",0
OH157467,8,"Pakistan, Multan ","[71.456527, 30.188337]",1
MA352894,9,ACT Secured Recycling,"[-71.15304421041003, 42.70884038245311]",1
MA352894,10,TBS Industries,"[-72.71720745007592, 42.255490525325705]",1
MA352894,11,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
MA352894,12,"Hong Kong, New Territories ","[113.981538, 22.453303]",1
NV353413,13,Nevada State Recycling,"[-115.16180688119586, 36.149843415024044]",1
NV353413,14,TW Recycling,"[-115.1391, 36.1716]",0
NV353413,15,Advance Trading Corp,"[-117.659313, 34.059492]",1
NV353413,16,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
NV353413,17,"Hong Kong, New Territories ","[114.019274, 22.423244]",1
CA549390,18,Recycling Event at Eliot Middle School,"[-118.13098919025249, 34.18319568783581]",1
CA549390,19,Attan Recycling Corp,"[-117.70934439496996, 34.00004410331367]",1
CA549390,20,Advance Trading Corp ,"[-117.659305, 34.059311]",1
CA549390,21,WTB Electronics Recycling Import & Export,"[-117.89691402570422, 33.74740440684496]",1
CA549390,22,Port of Long Beach,"[-118.2164027066185, 33.75403604662242]",0
CA549390,23,"Cambodia, Unverified location (Krong Preah Sihnaouk port area) ","[103.50137915753281, 10.642753097996945]",0
CA549390,24,"Cambodia, Unverified location (Phnom Penh area)","[104.91787357108755, 11.569222198370339]",0
NJ614731,25,Advanced Recovery Inc (ARI),"[-74.1433280275119, 40.800374754822016]",1
NJ614731,26,"Unverified location, Middletown, NJ","[-74.09835253992611, 40.390667496929424]",0
NJ614731,27,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
NJ614731,28,"Hong Kong, New Territories","[114.166662, 22.526796]",1
CA552709,29,AERC Recycling Solutions,"[-122.05533117717962, 37.61812962397873]",1
CA552709,30,"Unverified location, Stockton, CA ","[-121.29412056429278, 37.957938447355495]",0
CA552709,31,"Unverified location, Chino, CA area","[-117.68712989747965, 34.011361309491235]",0
CA552709,32,Hong Kong - Port of Hong Kong ,"[114.133333, 22.333333]",0
CA552709,33,Hong Kong - Pillar Point port area ,"[113.9390984215767, 22.36470542117652]",0
CA552709,34,"Hong Kong, New Territories ","[114.071367, 22.48509]",1
CA552709,35,"Hong Kong, New Territories ","[114.01992, 22.455738]",1
CA552709,36,"Hong Kong, New Territories ","[114.003833, 22.485871]",1
CCA545745,37,"All eWaste collection event in Santa Clarita, CA","[-118.541739267885, 34.393247873697874]",0
CCA545745,38,"All eWaste HQ, Sun Valley, CA (34.228201, -118.385998) ","[-118.385998, 34.228201]",1
CCA545745,39,IQA Metals ,"[-117.6895369240572, 33.99408744384333]",1
CCA545745,40,Port of Long Beach ,"[-118.2164027066185, 33.75403604662242]",0
CCA545745,41,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CCA545745,42,"Hong Kong, New Territories ","[113.9652, 22.447456]",1
MA616330,43,Allied Computer Brokers,"[-70.94801096873985, 42.8424297205171]",1
MA616330,44,"Unverified location, North Billerica, MA ","[-71.284720026298, 42.58325368671266]",0
MA616330,45,"Unverified location in Boston, MA ","[-71.05973740671557, 42.36045887721905]",0
MA616330,46,"Hong Kong, Port of Hong Kong","[114.133333, 22.333333]",0
MA616330,47,"Hong Kong, New Territories (unverified location)","[114.1234, 22.3704]",0
MA616330,48,"Hong Kong, New Territories ","[113.987362, 22.453112]",1
IL163523,49,ARCOA,"[-87.88251900807431, 42.36075574682718]",1
IL163523,50,ECR World ,"[-117.69497257795065, 33.99177714145301]",1
IL163523,51,"Port of Long Beach, CA","[-118.2164027066185, 33.75403604662242]",0
IL163523,52,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
IL163523,53,"Hong Kong, New Territories ","[114.002787, 22.436384]",1
